sample_id,mineral,measurement,h5_path,desc_path,h5_shape,n_bands,in_library,notes
0045,Phlogopite,A,raw\0045\0045_A.hdr.h5,raw\0045\0045_description.txt,256x320x410,410,True,bands=410 (expected 256)
0046,Hornblende,A,raw\0046\0046_A.hdr.h5,raw\0046\0046_description.txt,256x320x410,410,True,bands=410 (expected 256)
0047,Enstatite,A,raw\0047\0047_A.hdr.h5,raw\0047\0047_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0048,Pyrite,A,raw\0048\0048_A.hdr.h5,raw\0048\0048_description.txt,256x320x410,410,True,bands=410 (expected 256)
0049,Biotite,A,raw\0049\0049_A.hdr.h5,raw\0049\0049_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0049,Biotite,B,raw\0049\0049_B.hdr.h5,raw\0049\0049_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0050,Biotite,A,raw\0050\0050_A.hdr.h5,raw\0050\0050_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0051,Pyrrhotite,A,raw\0051\0051_A.hdr.h5,raw\0051\0051_description.txt,256x320x410,410,True,bands=410 (expected 256)
0052,Calcite,A,raw\0052\0052_A.hdr.h5,raw\0052\0052_description.txt,256x320x410,410,True,bands=410 (expected 256)
0053,Galena,A,raw\0053\0053_A.hdr.h5,raw\0053\0053_description.txt,256x320x410,410,True,bands=410 (expected 256)
0054,Galena,A,raw\0054\0054_A.hdr.h5,raw\0054\0054_description.txt,256x320x410,410,True,bands=410 (expected 256)
0055,Magnetite,A,raw\0055\0055_A.hdr.h5,raw\0055\0055_description.txt,256x320x410,410,True,bands=410 (expected 256)
0056,Halite,A,raw\0056\0056_A.hdr.h5,raw\0056\0056_description.txt,256x320x410,410,True,bands=410 (expected 256)
0057,Orthoclase,A,raw\0057\0057_A.hdr.h5,raw\0057\0057_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0058,Talc,A,raw\0058\0058_A.hdr.h5,raw\0058\0058_description.txt,256x320x410,410,True,bands=410 (expected 256)
0059,Talc,A,raw\0059\0059_A.hdr.h5,raw\0059\0059_description.txt,256x320x410,410,True,bands=410 (expected 256)
0060,Sodalite,A,raw\0060\0060_A.hdr.h5,raw\0060\0060_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0061,Aragonite,A,raw\0061\0061_A.hdr.h5,raw\0061\0061_description.txt,256x320x410,410,True,bands=410 (expected 256)
0062,Tourmaline,A,raw\0062\0062_A.hdr.h5,raw\0062\0062_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0063,Gypsum,A,raw\0063\0063_A.hdr.h5,raw\0063\0063_description.txt,256x320x410,410,True,bands=410 (expected 256)
0064,Actinolite,A,raw\0064\0064_A.hdr.h5,raw\0064\0064_description.txt,256x320x410,410,True,bands=410 (expected 256)
0065,Olivine,A,raw\0065\0065_A.hdr.h5,raw\0065\0065_description.txt,256x320x410,410,True,bands=410 (expected 256)
0066,Staurolite,A,raw\0066\0066_A.hdr.h5,raw\0066\0066_description.txt,256x320x410,410,True,bands=410 (expected 256)
0067,Omphacite,A,raw\0067\0067_A.hdr.h5,raw\0067\0067_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0068,Serpentine,A,raw\0068\0068_A.hdr.h5,raw\0068\0068_description.txt,256x320x410,410,True,bands=410 (expected 256)
0069,Diopside,A,raw\0069\0069_A.hdr.h5,raw\0069\0069_description.txt,256x320x410,410,True,bands=410 (expected 256)
0070,Phlogopite,A,raw\0070\0070_A.hdr.h5,raw\0070\0070_description.txt,256x320x410,410,True,bands=410 (expected 256)
0071,Microcline,A,raw\0071\0071_A.hdr.h5,raw\0071\0071_description.txt,256x320x410,410,True,bands=410 (expected 256)
0072,Magnetite,A,raw\0072\0072_A.hdr.h5,raw\0072\0072_description.txt,256x320x410,410,True,bands=410 (expected 256)
0073,Almandine,A,raw\0073\0073_A.hdr.h5,raw\0073\0073_description.txt,256x320x410,410,True,bands=410 (expected 256)
0074,Almandine,A,raw\0074\0074_A.hdr.h5,raw\0074\0074_description.txt,256x320x410,410,True,bands=410 (expected 256)
0075,Beryl,A,raw\0075\0075_A.hdr.h5,raw\0075\0075_description.txt,256x320x410,410,True,bands=410 (expected 256)
0075,Beryl,B,raw\0075\0075_B.hdr.h5,raw\0075\0075_description.txt,256x320x460,460,True,bands=460 (expected 256)
0076,Glaucophane,A,raw\0076\0076_A.hdr.h5,raw\0076\0076_description.txt,256x320x410,410,True,bands=410 (expected 256)
0077,Glaucophane,A,raw\0077\0077_A.hdr.h5,raw\0077\0077_description.txt,256x320x410,410,True,bands=410 (expected 256)
0078,Calcite,A,raw\0078\0078_A.hdr.h5,raw\0078\0078_description.txt,256x320x410,410,True,bands=410 (expected 256)
0079,Calcite,A,raw\0079\0079_A.hdr.h5,raw\0079\0079_description.txt,256x320x410,410,True,bands=410 (expected 256)
0080,Siderite,A,raw\0080\0080_A.hdr.h5,raw\0080\0080_description.txt,256x320x460,460,True,bands=460 (expected 256)
0081,Coal,A,raw\0081\0081_A.hdr.h5,raw\0081\0081_description.txt,256x320x460,460,False,mineral not in sam_library; bands=460 (expected 256)
0082,Coal,A,raw\0082\0082_A.hdr.h5,raw\0082\0082_description.txt,256x320x460,460,False,mineral not in sam_library; bands=460 (expected 256)
0083,Graphite,A,raw\0083\0083_A.hdr.h5,raw\0083\0083_description.txt,256x320x460,460,False,mineral not in sam_library; bands=460 (expected 256)
0084,Graphite,A,raw\0084\0084_A.hdr.h5,raw\0084\0084_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0085,Hematite,A,raw\0085\0085_A.hdr.h5,raw\0085\0085_description.txt,256x320x410,410,True,bands=410 (expected 256)
0085,Hematite,B,raw\0085\0085_B.hdr.h5,raw\0085\0085_description.txt,256x320x410,410,True,bands=410 (expected 256)
0086,Blende,A,raw\0086\0086_A.hdr.h5,raw\0086\0086_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0086,Blende,B,raw\0086\0086_B.hdr.h5,raw\0086\0086_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0087,Arsenopyrite,A,raw\0087\0087_A.hdr.h5,raw\0087\0087_description.txt,256x320x410,410,True,bands=410 (expected 256)
0087,Arsenopyrite,B,raw\0087\0087_B.hdr.h5,raw\0087\0087_description.txt,256x320x410,410,True,bands=410 (expected 256)
0088,Labradorite,A,raw\0088\0088_A.hdr.h5,raw\0088\0088_description.txt,256x320x410,410,True,bands=410 (expected 256)
0088,Labradorite,B,raw\0088\0088_B.hdr.h5,raw\0088\0088_description.txt,256x320x410,410,True,bands=410 (expected 256)
0089,Apatite,A,raw\0089\0089_A.hdr.h5,raw\0089\0089_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0089,Apatite,B,raw\0089\0089_B.hdr.h5,raw\0089\0089_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0090,Apatite,A,raw\0090\0090_A.hdr.h5,raw\0090\0090_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0090,Apatite,B,raw\0090\0090_B.hdr.h5,raw\0090\0090_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0091,Dolomite,A,raw\0091\0091_A.hdr.h5,raw\0091\0091_description.txt,256x320x410,410,True,bands=410 (expected 256)
0091,Dolomite,B,raw\0091\0091_B.hdr.h5,raw\0091\0091_description.txt,256x320x410,410,True,bands=410 (expected 256)
0092,Dolomite,A,raw\0092\0092_A.hdr.h5,raw\0092\0092_description.txt,256x320x410,410,True,bands=410 (expected 256)
0092,Dolomite,B,raw\0092\0092_B.hdr.h5,raw\0092\0092_description.txt,256x320x410,410,True,bands=410 (expected 256)
0093,Rutile,A,raw\0093\0093_A.hdr.h5,raw\0093\0093_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0094,Titanite,A,raw\0094\0094_A.hdr.h5,raw\0094\0094_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0095,Hematite,A,raw\0095\0095_A.hdr.h5,raw\0095\0095_description.txt,256x320x410,410,True,bands=410 (expected 256)
0096,Hematite,A,raw\0096\0096_A.hdr.h5,raw\0096\0096_description.txt,256x320x410,410,True,bands=410 (expected 256)
0097,Nepheline,A,raw\0097\0097_A.hdr.h5,raw\0097\0097_description.txt,256x320x410,410,True,bands=410 (expected 256)
0097,Nepheline,B,raw\0097\0097_B.hdr.h5,raw\0097\0097_description.txt,256x320x410,410,True,bands=410 (expected 256)
0098,Tremolite,A,raw\0098\0098_A.hdr.h5,raw\0098\0098_description.txt,256x320x410,410,True,bands=410 (expected 256)
0098,Tremolite,B,raw\0098\0098_B.hdr.h5,raw\0098\0098_description.txt,256x320x410,410,True,bands=410 (expected 256)
0099,Sanidine,A,raw\0099\0099_A.hdr.h5,raw\0099\0099_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0099,Sanidine,B,raw\0099\0099_B.hdr.h5,raw\0099\0099_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0100,Tremolite,A,raw\0100\0100_A.hdr.h5,raw\0100\0100_description.txt,256x320x410,410,True,bands=410 (expected 256)
0101,Copper,A,raw\0101\0101_A.hdr.h5,raw\0101\0101_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0102,Opal,A,raw\0102\0102_A.hdr.h5,raw\0102\0102_description.txt,256x320x410,410,True,bands=410 (expected 256)
0103,Bytownite,A,raw\0103\0103_A.hdr.h5,raw\0103\0103_description.txt,256x320x410,410,True,bands=410 (expected 256)
0104,Labradorite,A,raw\0104\0104_A.hdr.h5,raw\0104\0104_description.txt,256x320x410,410,True,bands=410 (expected 256)
0104,Labradorite,B,raw\0104\0104_B.hdr.h5,raw\0104\0104_description.txt,256x320x410,410,True,bands=410 (expected 256)
0105,Sphalerite,A,raw\0105\0105_A.hdr.h5,raw\0105\0105_description.txt,256x320x410,410,True,bands=410 (expected 256)
0106,Chalcopyrite,A,raw\0106\0106_A.hdr.h5,raw\0106\0106_description.txt,256x320x410,410,True,bands=410 (expected 256)
0107,Albite,A,raw\0107\0107_A.hdr.h5,raw\0107\0107_description.txt,256x320x410,410,True,bands=410 (expected 256)
0108,Chalcedony,A,raw\0108\0108_A.hdr.h5,raw\0108\0108_description.txt,256x320x410,410,True,bands=410 (expected 256)
0108,Chalcedony,B,raw\0108\0108_B.hdr.h5,raw\0108\0108_description.txt,256x320x410,410,True,bands=410 (expected 256)
0109,Chalcedony,A,raw\0109\0109_A.hdr.h5,raw\0109\0109_description.txt,256x320x410,410,True,bands=410 (expected 256)
0109,Chalcedony,B,raw\0109\0109_B.hdr.h5,raw\0109\0109_description.txt,256x320x410,410,True,bands=410 (expected 256)
0110,Zircon,A,raw\0110\0110_A.hdr.h5,raw\0110\0110_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0110,Zircon,B,raw\0110\0110_B.hdr.h5,raw\0110\0110_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0111,Hypersthene,A,raw\0111\0111_A.hdr.h5,raw\0111\0111_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0112,Bronzite,A,raw\0112\0112_A.hdr.h5,raw\0112\0112_description.txt,256x320x410,410,True,bands=410 (expected 256)
0113,Kaolinite,A,raw\0113\0113_A.hdr.h5,raw\0113\0113_description.txt,256x320x410,410,True,bands=410 (expected 256)
0114,Goethite,A,raw\0114\0114_A.hdr.h5,raw\0114\0114_description.txt,256x320x410,410,True,bands=410 (expected 256)
0115,Garnet,A,raw\0115\0115_A.hdr.h5,raw\0115\0115_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0116,Ilmenite,A,raw\0116\0116_A.hdr.h5,raw\0116\0116_description.txt,256x320x410,410,True,bands=410 (expected 256)
0117,Pyrolusite,A,raw\0117\0117_A.hdr.h5,raw\0117\0117_description.txt,256x320x410,410,True,bands=410 (expected 256)
0118,Pyrolusite,A,raw\0118\0118_A.hdr.h5,raw\0118\0118_description.txt,256x320x410,410,True,bands=410 (expected 256)
0119,Cassiterite,A,raw\0119\0119_A.hdr.h5,raw\0119\0119_description.txt,256x320x410,410,True,bands=410 (expected 256)
0120,Cassiterite,A,raw\0120\0120_A.hdr.h5,raw\0120\0120_description.txt,256x320x410,410,True,bands=410 (expected 256)
0121,Halloysite,A,raw\0121\0121_A.hdr.h5,raw\0121\0121_description.txt,256x320x410,410,True,bands=410 (expected 256)
0122,Halloysite,A,raw\0122\0122_A.hdr.h5,raw\0122\0122_description.txt,256x320x410,410,True,bands=410 (expected 256)
0123,Montmorillonite,A,raw\0123\0123_A.hdr.h5,raw\0123\0123_description.txt,256x320x410,410,True,bands=410 (expected 256)
0124,Montmorillonite,A,raw\0124\0124_A.hdr.h5,raw\0124\0124_description.txt,256x320x410,410,True,bands=410 (expected 256)
0125,Montmorillonite,A,raw\0125\0125_A.hdr.h5,raw\0125\0125_description.txt,256x320x410,410,True,bands=410 (expected 256)
0126,Clinochlore,A,raw\0126\0126_A.hdr.h5,raw\0126\0126_description.txt,256x320x410,410,True,bands=410 (expected 256)
0127,Silicified wood,A,raw\0127\0127_A.hdr.h5,raw\0127\0127_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0127,Silicified wood,B,raw\0127\0127_B.hdr.h5,raw\0127\0127_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0128,Limonite,A,raw\0128\0128_A.hdr.h5,raw\0128\0128_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
0129,Limonite,A,raw\0129\0129_A.hdr.h5,raw\0129\0129_description.txt,256x320x410,410,False,mineral not in sam_library; bands=410 (expected 256)
Bg,background,A,raw\Bg\Bg_A.hdr.h5,raw\Bg\Bg_description.txt,256x320x460,460,False,mineral not in sam_library; bands=460 (expected 256)
